url,success,statusCode,scrapedAt,error,metaTitle,metaDescription,canonical,wordCount,h1_count,h2_count,h3_count,h1_first,h2_first,h2_all,schemaTypes,og_title,og_description,og_type
https://www.brushandfloss.com/locations/monkey-junction,true,200,2026-04-14T14:54:32.740Z,,"Dentist in Monkey Junction, NC | Riccobene Associates Family Dentistry","Looking for a dentist in Monkey Junction, NC? Riccobene Associates offers family, cosmetic, and other dental services in a modern office. Book your visit!",https://www.brushandfloss.com/locations/monkey-junction,2132,1,11,21,"EXPERT DENTIST IN MONKEY JUNCTION - WILMINGTON, NC",MEET OUR DOCTORS,MEET OUR DOCTORS | OUR SERVICES | WHAT OUR PATIENTS SAY | OUR OFFICE | WHY CHOOSE RICCOBENE? | OUR COMMITMENT TO EXCELLENCE | OTHER NEARBY LOCATIONS | PAYMENT OPTIONS & MEMBERSHIP PLANS | AFFORDABLE MEMBERSHIP PLANS | FREQUENTLY ASKED QUESTIONS | READY TO SCHEDULE? CONTACT US,WebPage | Organization | Insurance Accepted | Dentist | Service | Review | Review | Review | Review | FAQPage,"Riccobene Associates Family Dentistry | Wilmington, NC","Looking for a dentist in Monkey Junction, NC? Riccobene Associates offers family, cosmetic, and other dental services in a modern office. Book your visit!",website
https://www.brushandfloss.com/locations/southport,true,200,2026-04-14T14:54:32.790Z,,"Dentist in Southport, NC | Riccobene Associates Family Dentistry","Need a dentist in Southport, NC? Riccobene Associates Family Dentistry offers family, cosmetic, implants, and emergency dental care. Book your visit today!",https://www.brushandfloss.com/locations/southport,1957,1,11,20,"EXPERIENCED DENTISTS IN SOUTHPORT, NC",MEET OUR DOCTORS,MEET OUR DOCTORS | OUR SERVICES | WHAT OUR PATIENTS SAY | OUR OFFICE | WHY CHOOSE RICCOBENE? | OUR COMMITMENT TO EXCELLENCE | OTHER NEARBY LOCATIONS | PAYMENT OPTIONS & MEMBERSHIP PLANS | AFFORDABLE MEMBERSHIP PLANS | FREQUENTLY ASKED QUESTIONS | READY TO SCHEDULE? CONTACT US,WebPage | Organization | Insurance Accepted | Dentist | Service | Review | Review | Review | Review | Review | FAQPage,"Riccobene Associates Family Dentistry | Bolivia, NC","Need a dentist in Southport, NC? Riccobene Associates Family Dentistry offers family, cosmetic, implants, and emergency dental care. Book your visit today!",website
https://www.brushandfloss.com/locations/high-point,true,200,2026-04-14T14:54:32.602Z,,"Dentist in High Point, NC | Riccobene Associates Family Dentistry","Trusted dentists in High Point, NC, offering family care, dental implants, teeth whitening, and emergency services. Book your visit to our local clinic today.",https://www.brushandfloss.com/locations/high-point,1700,1,11,15,"COMPREHENSIVE DENTAL CARE IN HIGH POINT, NC",MEET OUR DOCTORS,MEET OUR DOCTORS | OUR SERVICES | WHAT OUR PATIENTS SAY | OUR OFFICE | WHY CHOOSE RICCOBENE? | OUR COMMITMENT TO EXCELLENCE | OTHER NEARBY LOCATIONS | PAYMENT OPTIONS & MEMBERSHIP PLANS | AFFORDABLE MEMBERSHIP PLANS | FREQUENTLY ASKED QUESTIONS | READY TO SCHEDULE? CONTACT US,WebPage | Organization | Insurance Accepted | Dentist | Service | Review | Review | Review | Review | Review | FAQPage,"Riccobene Associates Family Dentistry | High Point, NC","Trusted dentists in High Point, NC, offering family care, dental implants, teeth whitening, and emergency services. Book your visit to our local clinic today.",website
https://www.brushandfloss.com/locations/independence,true,200,2026-04-14T14:54:32.722Z,,"Dentist in Independence, NC | Riccobene Associates Family Dentistry","Looking for a reliable dentist in Independence, NC? We offer gentle and professional care to maintain your oral health.Book Now!",https://www.brushandfloss.com/locations/independence,1681,1,11,13,"RELIABLE DENTIST OFFERING EXPERT SERVICES IN INDEPENDENCE, NC",MEET OUR DOCTOR,MEET OUR DOCTOR | OUR SERVICES | WHAT OUR PATIENTS SAY | OUR OFFICE | WHY CHOOSE RICCOBENE? | OUR COMMITMENT TO EXCELLENCE | OTHER NEARBY LOCATIONS | PAYMENT OPTIONS & MEMBERSHIP PLANS | AFFORDABLE MEMBERSHIP PLANS | FREQUENTLY ASKED QUESTIONS | READY TO SCHEDULE? CONTACT US,WebPage | Organization | Insurance Accepted | Dentist | Service | Review | Review | Review | Review | FAQPage,"Riccobene Associates Family Dentistry | Charlotte, NC","Looking for a reliable dentist in Independence, NC? We offer gentle and professional care to maintain your oral health.Book Now!",website
https://www.brushandfloss.com/shallotte/,true,200,2026-04-14T14:54:32.343Z,,"Dentist in Shallotte, NC | Riccobene Associates Family Dentistry",Dentist in Shallotte NC. General cosmetic pediatric implants at Riccobene Shallotte. Call 910 754 7700 today to schedule your visit.,https://www.brushandfloss.com/locations/shallotte,1855,1,11,16,"EXPERIENCED DENTISTS IN SHALLOTTE, NC",MEET OUR DOCTORS,MEET OUR DOCTORS | OUR SERVICES | WHAT OUR PATIENTS SAY | OUR OFFICE | WHY CHOOSE RICCOBENE? | OUR COMMITMENT TO EXCELLENCE | OTHER NEARBY LOCATIONS | PAYMENT OPTIONS & MEMBERSHIP PLANS | AFFORDABLE MEMBERSHIP PLANS | FREQUENTLY ASKED QUESTIONS | READY TO SCHEDULE? CONTACT US,WebPage | Organization | Insurance Accepted | Dentist | Service | Review | Review | Review | Review | Review | FAQPage,"Riccobene Associates Family Dentistry | Shallotte, NC",Dentist in Shallotte NC. General cosmetic pediatric implants at Riccobene Shallotte. Call 910 754 7700 today to schedule your visit.,website
https://www.brushandfloss.com/locations/rock-hill-sc,true,500,2026-04-14T14:54:34.114Z,,500 - Something unexpected happened,The page you requested unexpectedly failed to load.,,21,1,0,0,Something unexpected happened,,,,,,
http://www.brushandfloss.com/,true,200,2026-04-14T14:54:34.358Z,,Riccobene Associates Family Dentistry | Dentists in North Carolina,Riccobene Associates Family Dentistry delivers top-notch dental care to families and patients throughout North Carolina.,https://www.brushandfloss.com/,227,3,8,1,CHANGING,BE OUR GUEST,"BE OUR GUEST | THE RICCOBENE WAY | FIND A DENTIST
NEAR YOU | EVERYTHING IN
ONE PLACE | AFFORDABLE
PAYMENT OPTIONS | JOIN OUR TEAM | JOIN THE RICCOBENE FAMILY | FIND A LOCATION",,Riccobene Associates Family Dentistry | Dentists in North Carolina,Riccobene Associates Family Dentistry delivers top-notch dental care to families and patients throughout North Carolina.,website
https://www.brushandfloss.com/locations/winston-salem,true,200,2026-04-14T14:54:35.353Z,,"Dentist in Winston-Salem, NC | Riccobene Associates Family Dentistry","Looking for a dentist in Winston-Salem, NC? Our expert team provides dental care with comfort and clinical excellence. Book your appointment today!",https://www.brushandfloss.com/locations/winston-salem,2092,1,11,19,"TRUSTED DENTIST IN WINSTON SALEM, NC – EXPERT CARE FOR YOUR SMILE",MEET OUR DOCTORS,MEET OUR DOCTORS | OUR SERVICES | WHAT OUR PATIENTS SAY | OUR OFFICE | WHY CHOOSE RICCOBENE? | OUR COMMITMENT TO EXCELLENCE | OTHER NEARBY LOCATIONS | PAYMENT OPTIONS & MEMBERSHIP PLANS | AFFORDABLE MEMBERSHIP PLANS | FREQUENTLY ASKED QUESTIONS | READY TO SCHEDULE? CONTACT US,WebPage | Organization | Insurance Accepted | Dentist | Service | Review | Review | Review | Review | FAQPage,"Riccobene Associates Family Dentistry | Winston-Salem, NC","Looking for a dentist in Winston-Salem, NC? Our expert team provides dental care with comfort and clinical excellence. Book your appointment today!",website
https://www.brushandfloss.com/locations/leland,true,200,2026-04-14T14:54:35.637Z,,"Dentist in Leland, NC | Riccobene Associates Family Dentistry","Dentist in Leland NC, providing family, pediatric, cosmetic, emergency, and implant care with modern comfort. Call 910-663-1223 to schedule your visit today!",https://www.brushandfloss.com/locations/leland,2004,1,11,21,"TRUSTED DENTISTS IN LELAND, NC FOR COMPLETE FAMILY DENTAL CARE",MEET OUR DOCTORS,MEET OUR DOCTORS | OUR SERVICES | WHAT OUR PATIENTS SAY | OUR OFFICE | WHY CHOOSE RICCOBENE? | OUR COMMITMENT TO EXCELLENCE | OTHER NEARBY LOCATIONS | PAYMENT OPTIONS & MEMBERSHIP PLANS | AFFORDABLE MEMBERSHIP PLANS | FREQUENTLY ASKED QUESTIONS | READY TO SCHEDULE? CONTACT US,WebPage | Organization | Insurance Accepted | Dentist | Service | Review | Review | Review | FAQPage,"Riccobene Associates Family Dentistry | Leland, NC","Dentist in Leland NC, providing family, pediatric, cosmetic, emergency, and implant care with modern comfort. Call 910-663-1223 to schedule your visit today!",website
https://www.brushandfloss.com/locations/porters-neck,true,200,2026-04-14T14:54:36.911Z,,"Dentist in Wilmington, Porters Neck, NC | Riccobene Associates Family Dentistry","Looking for an expert dentist in Wilmington, Porters Neck? We offer cosmetic, implant, and emergency care in a modern, welcoming office. Book today!",https://www.brushandfloss.com/locations/porters-neck,2050,1,11,17,"DENTIST IN PORTERS NECK, WILMINGTON, NC FOR FAMILY DENTAL CARE",MEET OUR DOCTORS,MEET OUR DOCTORS | OUR SERVICES | WHAT OUR PATIENTS SAY | OUR OFFICE | WHY CHOOSE RICCOBENE? | OUR COMMITMENT TO EXCELLENCE | OTHER NEARBY LOCATIONS | PAYMENT OPTIONS & MEMBERSHIP PLANS | AFFORDABLE MEMBERSHIP PLANS | FREQUENTLY ASKED QUESTIONS | READY TO SCHEDULE? CONTACT US,WebPage | Organization | Insurance Accepted | Dentist | Service | Review | Review | Review | Review | Review | FAQPage,"Riccobene Associates Family Dentistry | Wilmington, NC","Looking for an expert dentist in Wilmington, Porters Neck? We offer cosmetic, implant, and emergency care in a modern, welcoming office. Book today!",website
