rank,company,domain,industry,total_score,signal_types,top_signal,top_signal_date
1,Partners Health Management,http://www.partnersbhm.org,hospital & health care,300.0,C-Suite Join,Libby McCraw — Role change as Senior Deputy Chief Executive Officer,2026-10-01
2,Thyme Care,http://www.thymecare.com,hospital & health care,225.0,C-Suite Join,"Brad Diephuis, M.D. — Appointed as Chief Executive Officer",2026-09-01
3,Ohana Health Plan,http://www.ohanahealthplan.com,hospital & health care,142.5,C-Suite Exit + C-Suite Join,Chris Neczypor — Appointed as Executive Vice President and Chief Financial Officer,2027-01-01
4,GoodRx,http://www.goodrx.com,hospital & health care,141.0,C-Suite Exit + C-Suite Join + Product Launch,Justin Fengler — Appointed as Chief Financial Officer and Treasurer,2026-08-06
5,Vista Health System,http://www.vistahealth.com,hospital & health care,138.0,C-Suite Exit + C-Suite Join,Unknown — Appointed as Chief Executive Officer,2026-08-06
6,Esperanza Health Centers,http://www.esperanzachicago.org,hospital & health care,124.5,C-Suite Exit + C-Suite Join,Dr. Nicole Kazee — Appointed as President and Chief Executive Officer,2026-07-01
7,Lane Regional Medical Center,http://www.lanermc.org,hospital & health care,114.0,C-Suite Exit + C-Suite Join,Allyson Bennett — Promoted as Chief Nursing Officer,Unknown
8,Doctors Hospital of Laredo,http://www.doctorshosplaredo.com,hospital & health care,111.0,C-Suite Join,"Oliver Ostorga, FACHE — Appointed as Chief Executive Officer",2026-07-27
9,HCA Florida Lehigh Hospital,http://www.lehighregional.com,hospital & health care,105.0,C-Suite Join,Luke Henry — Promoted as Chief Operating Officer,2026-08-31
10,Duke Cancer Institute,http://www.dukecancerinstitute.org,hospital & health care,96.0,C-Suite Join,"David Tuveson, MD, PhD — Appointed as Executive Director, Duke Cancer Institute",2026-10-31
11,Mary Rutan Health,http://www.maryrutan.org,hospital & health care,93.0,C-Suite Join,Norm Mitry — Retired as President and Chief Executive Officer,2026-12-31
12,PillPack,http://www.pillpack.com,hospital & health care,93.0,C-Suite Exit + C-Suite Join,"Roy Schoenberg — Appointed as Senior Vice President, Amazon Health Services",2026-07-01
13,Hippocratic AI,http://www.hippocraticai.com,hospital & health care,90.0,C-Suite Join + Funding Round,"Greg Cioffi — Appointed as Chief Growth Officer, Public Sector",2026-08-04
14,UMass Memorial Health - Harrington,http://www.harringtonhospital.org,hospital & health care,90.0,C-Suite Join,Robin Sodano — Retired as Senior Vice President of Information Services and Chief Information Officer,2026-09-01
15,PRCS,http://www.prcshealthcare.com,hospital & health care,86.2,C-Suite Exit + C-Suite Join,Brian Dietz — Interim appointment as Interim Hospital Chief Executive,2026-09-10
16,Sunshine Health,http://www.sunshinehealth.com,hospital & health care,85.5,C-Suite Exit + C-Suite Join,Chris Neczypor — Appointed as Chief Financial Officer,2027-01-01
17,Whitman Hospital and Medical Clinics,http://www.whmc.org,hospital & health care,72.0,C-Suite Join,Holly Shelden — Appointed as Chief Executive Officer,2026-09-17
18,UNC Physicians Network,http://www.uncpn.com,hospital & health care,66.0,C-Suite Join,"Min Lee — Appointed as President, UNC Hospitals",2026-07-20
19,Royal Health Group,http://www.royalhealthgroup.com,hospital & health care,60.0,C-Suite Join,"Alex Roe, CFA — Appointed as Chief Financial Officer",2026-08-06
20,Nexus Health Systems,http://www.nexushealthsystems.com,hospital & health care,60.0,C-Suite Join,"Akram Boutros, MD, FACHE — Role change as Chief Executive Officer",2026-07-28
21,Harmony Home Health & Hospice,http://www.harmonyhomehealth.com,hospital & health care,60.0,C-Suite Join,Tom Xu — Appointed as Chief Operating Officer,2026-08-10
22,Rehoboth McKinley Christian Health Care Services,http://www.rmch.org,hospital & health care,57.7,C-Suite Exit + C-Suite Join,Brian Dietz — Interim appointment as Interim Chief Executive Officer,2026-09-10
23,Mammoth Hospital,http://www.mammothhospital.org,hospital & health care,57.0,C-Suite Exit + C-Suite Join,Tom Parker — Retired as Chief Executive Officer,2026-10-02
24,Los Alamos Medical Center,http://www.losalamosmedicalcenter.com,hospital & health care,55.5,C-Suite Exit + C-Suite Join,Chris Emond — Appointed as Chief Financial Officer,2026-08-10
25,Kline Galland,http://www.klinegalland.org,hospital & health care,55.5,C-Suite Exit + C-Suite Join,"Dr. Megan Gillum — Appointed as Medical Director, Kline Galland Hospice",2026-07-21
26,ST ALPHONSUS REGIONAL MEDICAL CENTER INC,http://www.saintalphonsus.com,hospital & health care,54.7,C-Suite Exit + C-Suite Join,Megan Boyle — Role change as Vice President of Operations,2026-08-31
27,American Hospital Association,http://www.aha.org,hospital & health care,52.5,C-Suite Exit + C-Suite Join,Steve Walsh — Appointed as President and CEO,2026-06-30
28,Nevada Regional Medical Center,http://www.nrmchealth.com,hospital & health care,51.0,C-Suite Join,Michelle Beverly — Promoted as Chief Executive Officer,2026-07-13
29,Huntsville Memorial Hospital,http://www.huntsvillememorial.com,hospital & health care,51.0,C-Suite Exit + C-Suite Join,Mary Bevier — Appointed as Chief Financial Officer,2026-08-08
30,Presbyterian St Lukes,http://www.pslmc.com,hospital & health care,48.0,C-Suite Join,Casey Guber — Appointed as President and Chief Executive Officer,2026-07-20
31,"ProgenyHealth, LLC",http://www.progenyhealth.com,hospital & health care,48.0,C-Suite Join,"Mark Sprague, FSA — Appointed as Chief Financial Officer",Unknown
32,Gifford,http://www.giffordhealthcare.org,hospital & health care,45.0,C-Suite Join,Chris Frauenhofer — Appointed as Chief Financial Officer,2026-08-06
33,"St. Joseph Regional Medical Center, Inc.",http://www.sjrmc.org,hospital & health care,42.0,C-Suite Join,Angela Green — Appointed as Chief Nursing Officer / Chief Operating Officer,Unknown
34,Orange City Area Health System,http://www.ochealthsystem.org,hospital & health care,42.0,C-Suite Join,Chris Sietstra — Appointed as Chief Executive Officer,2026-07-06
35,TriStar StoneCrest Medical Center,http://www.tristarstonecrest.com,hospital & health care,40.5,C-Suite Join,"Lori Feltner, MSN — Appointed as Chief Nursing Officer",2026-08-29
36,HealthSource Saginaw,http://www.healthsourcesaginaw.org,hospital & health care,39.0,C-Suite Exit + C-Suite Join,Joel Kincaid — exited as Chief Executive Officer,2026-09-18
37,Mesa View Regional Hospital,http://www.mesaviewhospital.com,hospital & health care,39.0,C-Suite Join,Michelle Beverly — Promoted as Chief Executive Officer,2026-07-13
38,Strive Health,http://www.strivehealth.com,hospital & health care,36.0,C-Suite Join,Michele Paige — Appointed as Chief Growth Officer,Unknown
39,DMC Huron Valley-Sinai Hospital,http://www.hvsh.org,hospital & health care,34.5,C-Suite Join,Daniel Lee — Appointed as Chief Executive Officer,2026-09-09
40,Special Tree Rehabilitation System,http://www.specialtree.com,hospital & health care,33.0,C-Suite Join,Seth Buckman — Appointed as NeuroCare Center Administrator,2026-08-24
41,"Independent Living Systems, LLC",http://www.ilshealth.com,hospital & health care,33.0,C-Suite Join,Tatiana Pita — Promoted as Senior Vice President of Care Management,2026-08-24
42,Aspire Indiana Health,http://www.aspireindiana.org,hospital & health care,30.0,C-Suite Join,Barbara Scott — Retired as Chief Executive Officer,Unknown
43,Bicycle Health Inc,http://www.bicyclehealth.com,hospital & health care,30.0,C-Suite Join,Dr. Travis Schamber — Promoted as Chief Medical Officer,Unknown
44,West Calcasieu Cameron Hospital,http://www.wcch.com,hospital & health care,30.0,C-Suite Join,Tori Romo — Appointed as Chief Executive Officer,Unknown
45,Aspen Valley Health,http://www.aspenvalleyhealth.org,hospital & health care,24.0,C-Suite Join,Michelle Gelroth — Role change as Chief Information Officer,Unknown
46,Saint Francis Healthcare Memphis-Bartlett,http://www.saintfrancishosp.com,hospital & health care,24.0,C-Suite Join, — Appointed,Unknown
47,Clinical Ink Inc,http://www.clinicalink.com,pharmaceuticals,24.0,C-Suite Join,Christian Born Djurhuus — Appointed as Chief Science Officer,Unknown
48,North Okaloosa Medical Center,http://www.northokaloosa.com,hospital & health care,21.0,C-Suite Join,Rick Baxter — Retired as Chief Executive Officer,2026-08-01
49,Halifax Regional,http://www.halifaxregional.org,hospital & health care,18.0,C-Suite Join,Nicole Dockery — Promoted as President,Unknown
