Company Name,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Subsidiary of (Organization ID),Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Determine Research Guidelines,Already Prospected 2717,Qualify Account,Qualified Prospect 6487,Prerequisite: Research Target Company
Strive Health,Strive Health,Cold,"Apollo companies database, Signals databse",900,hospital & health care,toolsadmin@markifydigital.com,http://www.strivehealth.com,http://www.linkedin.com/company/strive-health,https://www.facebook.com/StriveHealthKidneyCare,https://twitter.com/StriveHealthUS,1600 Stout St,Denver,Colorado,United States,80202-3102,"1600 Stout St, Denver, Colorado, United States, 80202-3102","hospitals & health care, healthcare partnerships, care multiplier platform, healthcare services, care management platform, value-based kidney care, personalized care plans, workplace recognition, caremultiplier platform, patient engagement tools, care coordination, patient outcome metrics, predictive analytics, value-based kidney care models, consulting, ai in healthcare, chronic kidney disease management, data-driven healthcare, services, cost reduction strategies, healthcare provider partnerships, care delivery innovation, healthcare provider support tools, provider network expansion, health system collaboration, personalized kidney care, medical care integration, kidney heroes teams, cost management, clinical outcomes improvement, healthcare technology, healthcare data security, multidisciplinary care teams, b2b, risk stratification ai, patient support services, machine learning, end-stage kidney disease, care delivery transformation, risk stratification, healthcare provider support, medical spend management, population health, patient-centered care, other outpatient care centers, integrated care delivery, medical care quality improvement, medical care accessibility, value-based care, risk-based payment models, clinical outcomes, healthcare industry awards, early ckd detection, healthcare service innovation, risk-based payment, patient engagement, medical care optimization, healthcare system scalability, healthcare innovation, data security, provider network, population health management, healthcare provider collaboration, health information technology, nephrologist-led care, scalable kidney care solutions, healthcare analytics, home dialysis support, chronic kidney disease, end-stage renal disease, dialysis, kidney transplants, care management, nephrology support, health systems, payor collaboration, patient outcomes, multispecialty teams, patient education, patient-centric care, emotional support, chronic disease management, preventative care, medical assessments, data-driven insights, dialysis alternatives, telehealth services, home-based care, clinical partnerships, real-time monitoring, hospital admission reduction, compliance support, care continuity, holistic health approach, health equity initiatives, risk adjustment, outcome metrics, cost containment, patient satisfaction, care extenders, dietary guidance, home dialysis, community health initiatives, nephrologist collaboration, vendor partnerships, remote monitoring, surgical coordination, care integration, clinical model efficiency, healthcare, hospital & health care, health care, health, wellness & fitness, information technology & services, enterprise software, enterprises, computer software, artificial intelligence, computer & network security",'+1 833-880-1660,"Salesforce, Route 53, Outlook, DigitalOcean, Atlassian Cloud, OneTrust, Greenhouse.io, Hubspot, Slack, Typekit, Mobile Friendly, Shutterstock, WordPress.org, Google Tag Manager, YouTube, Android, Remote, AI, Selenium, Playwright, Salesforce Health Cloud, Semrush, SQL, Power BI Documenter, Salesforce Service Cloud, Adobe Experience Cloud, Salesforce Platform, Salesforce Lightning, Amazon Web Services (AWS)",856000000,Debt Financing,250000000,2025-09-01,93200000,,697b7b6371e55f0001d76ed5,8011,62149,"Strive Health is a leader in value-based kidney care, focusing on patients with chronic kidney disease (CKD) and end-stage kidney disease (ESKD). The company collaborates with healthcare payors, providers, and health systems to enhance kidney care through early patient engagement and comprehensive coordinated care. Strive emphasizes data-driven insights and prevention to improve patient outcomes while reducing costs.

The company offers a turn-key kidney care service line that includes the CareMultiplier™ platform, which utilizes machine learning to help clinicians develop personalized care plans. Strive also features nurse practitioner-led care teams known as The Kidney Heroes™, along with accredited case management and population health programs. With a significant clinical impact, Strive has achieved notable reductions in hospital admissions and overall care costs.

Strive serves over 145,000 individuals with kidney disease and partners with more than 6,500 providers across all 50 states. The company has received multiple workplace awards and is backed by prominent investors, securing $550 million in recent funding to further its mission in transforming kidney care.",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69ac45c4d9904200015da967/picture,,,,,,,,,,,
GoodRx,GoodRx,Cold,"Apollo companies database, Signals databse",740,hospital & health care,,http://www.goodrx.com,http://www.linkedin.com/company/goodrx,https://facebook.com/goodrx,https://twitter.com/goodrx,233 Wilshire Blvd,Santa Monica,California,United States,90401,"233 Wilshire Blvd, Santa Monica, California, United States, 90401","healthcare, edp services, technology, hospitals & health care, pharmaceutical discount coupons, digital health solutions, medication price comparison services, patient access, prescription drug price aggregator, healthcare affordability, cost transparency, healthcare technology, real-time data aggregation, real-time pricing, patient medication adherence programs, telehealth consultations, prescription drug affordability, healthcare analytics, healthcare services, pharmaceutical savings programs, healthcare cost management tools, telehealth services, ambulance services, healthcare partnerships, healthcare innovation, financial services, healthcare market growth, healthcare marketplace, prescription discounts, healthcare digital transformation, healthcare cost reduction, healthcare platform, healthcare provider partnerships, b2c, healthcare digital services, consumer prescription platform, healthcare consumer solutions, healthcare data security, healthcare market, pharmacy discount platform, telehealth prescription services, telemedicine, medication price comparison, healthcare mobile app, b2b, medication adherence, pharmacy partnerships, real-time pricing data, drug price comparison, remote patient monitoring, healthcare user experience, healthcare cost reduction tools, drug price comparison app, drug pricing data aggregation, healthcare cloud solutions, healthcare digital infrastructure, healthcare customer engagement, healthcare consumer engagement, healthcare access platform, prescription drug prices, customer engagement, pharmaceuticals, pharmacy discount coupons, digital health and pharmacy, pharmacy benefit management, mobile app, healthcare compliance, e-commerce, healthcare digital services platform, price transparency, healthcare app, drug price transparency, prescription savings app, healthcare data, healthcare data analytics, pharmacy discounts, healthcare cost transparency, healthcare access, medication savings programs, digital health, digital pharmacy partnerships, healthcare digital marketing, healthcare savings platform, healthcare industry innovation, healthcare digital health tools, d2c, healthcare industry, healthcare affordability solutions, healthcare cost transparency tools, telehealth and prescription services, healthcare digital platform, pharmaceutical partnerships, patient care, healthcare data aggregation, healthtech, healthcare solutions, telehealth, digital health services, healthcare platform development, digital health platform, health data integration, patient support programs, healthcare software, healthcare telemedicine, pharmacy benefit management services, medication access programs, healthcare consumer platform, healthcare cost savings, healthcare digital ecosystem, medication adherence technology, healthcare digital health, services, healthcare provider collaboration, healthcare cost management, discount coupons, pharmacy benefit management platform, drug price transparency tools, consumer health solutions, medication discounts, digital pharmacy benefits, retail, healthcare provider network, medication access, health care, health, wellness & fitness, hospital & health care, medical practice, health care information technology, medical, consumer internet, consumers, internet, information technology & services",'+1 855-268-2822,"Fastly CDN, Salesforce, Route 53, Amazon SES, Rackspace MailGun, Sendgrid, Gmail, Google Apps, Zendesk, Taboola Newsroom, TubeMogul, WP Engine, Atlassian Cloud, Typeform, The Trade Desk, Slack, Vimeo, JQuery 1.11.1, YouTube, Tapad, Typekit, Bing Ads, Mobile Friendly, Gravity Forms, Shutterstock, Google Maps, Google Tag Manager, Lotame, Facebook Login (Connect), Google AdSense, Bootstrap Framework, Shopify, DoubleClick, Hotjar, Facebook Comments, Wix, Workday Recruit, SOASTA, Google Maps (Non Paid Users), Woo Commerce, Adobe Media Optimizer, Bootstrap Framework v3.1.1, Ontraport, Visual Website Optimizer, reCAPTCHA, WordPress.org, ShareThis, Squarespace ECommerce, Piwik, LiveChat, Ecwid, Google Font API, MailChimp, Remote, AI, Google Cloud BigQuery, Google Cloud Platform, Talkdesk, Lessonly, Delivra, AWS Trusted Advisor, IBM ILOG CPLEX Optimization Studio, Amazon Web Services (AWS), NetSuite, Excel4Apps, Microsoft Excel, Google Workspace, Microsoft PowerPoint, Elixir, Python, go+, Kubernetes, AWS Analytics, Jira, Salesforce Marketing Cloud, AMP, FlipHTML5, Salesforce Journey Builder, LinkedIn Ads, React, TypeScript, Node.js, Cisco Web Security Appliance S600v, GraphQL, OneTrust, Looker, Redshift, Terraform, Docker, Instagram, TikTok, Facebook, Airflow, Amazon Elastic MapReduce (EMR), AWS EventBridge, Amazon Kinesis, Lambda Cloud, Amazon S3, AWS Glue Data Catalog, PySpark, Apache ActiveMQ, Amazon Managed Streaming for Apache Kafka (Amazon MSK), SQL, NTENT, ServiceNow, Vertex AI, OpenAI, Databricks, MLflow",1185565348,Other,1114615348,2020-09-01,796853000,,69a860802aaaf100014426da,8099,62191,"GoodRx Holdings, Inc. is a healthcare technology company based in Santa Monica, California, founded in 2011. The company aims to enhance healthcare accessibility and affordability by providing price transparency for prescription drugs. GoodRx allows users to compare prices from local pharmacies and offers discounts, reportedly saving Americans over $20 billion since its inception.

The core services include a website and mobile app that enable real-time searches for the lowest prescription prices at over 70,000 pharmacies across the U.S. Users can access digital coupons and discount cards without needing insurance. GoodRx has also expanded its offerings through telehealth services, allowing for medication refills and virtual consultations, particularly after acquiring HeyDoctor. The company continues to grow, serving 17 million monthly users and focusing on making prescription medications more affordable.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69a3ce100b89ef00014e9b44/picture,,,,,,,,,,,
Aspire Indiana Health,Aspire Indiana Health,Cold,"Apollo companies database, Signals databse",650,hospital & health care,toolsadmin@markifydigital.com,http://www.aspireindiana.org,http://www.linkedin.com/company/aspire-indiana-health,https://facebook.com/AspireIndiana,https://twitter.com/aspireindiana,9615 E 148th St,Noblesville,Indiana,United States,46060,"9615 E 148th St, Noblesville, Indiana, United States, 46060","deaf services, outpatient mental health, behavioral health, addiction therapy, vocational employment assistance, veterans programs, schoolbased services, youth family services, housing assistance, substance abuse treatment, primary care, inpatient crisis services, hivinfectious disease, affordable housing, hospitals & health care, hospital & health care, counseling & mental health, health & medical",'+1 877-574-1254,"Gmail, Google Apps, Microsoft Office 365, Amazon SES, Piwik, AthenaHealth, YouTube, Google Tag Manager, Vimeo, Mobile Friendly, Nginx, Google Analytics, Shutterstock, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, Remote, Electron, Harmony Email & Collaboration, Cornerstone HR",,,,,30594000,1,69fc90252e9c21000133d7b1,8300,,"Aspire Indiana Health (AIH) is a nonprofit healthcare provider based in Central Indiana. It offers a wide range of services, including primary medical care, behavioral health services, specialty care, and support for social determinants of health such as housing and employment. AIH operates multiple health centers across counties like Hamilton, Boone, Grant, Madison, and Marion, and is recognized as a Federally Qualified Health Center (FQHC) look-alike.

The organization focuses on treating the whole person through collaborative teams of healthcare professionals. Services include primary care for all ages, outpatient mental health care, substance use treatment, and specialty services like rheumatology and neurology. AIH also provides community support services, including employment assistance and housing coordination. With a commitment to accessibility, AIH offers services on a sliding-fee scale for uninsured patients, accepts all insurances, and provides same-day access for new behavioral health patients.",1976,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/690ee06cd1920b0001d997c8/picture,,,,,,,,,,,
Special Tree Rehabilitation System,Special Tree Rehabilitation System,Cold,"Apollo companies database, Signals databse",240,hospital & health care,toolsadmin@markifydigital.com,http://www.specialtree.com,http://www.linkedin.com/company/special-tree-rehabilitation-system,https://facebook.com/specialtree,https://twitter.com/specialtree,10909 Hannan Rd,Romulus,Michigan,United States,48174,"10909 Hannan Rd, Romulus, Michigan, United States, 48174","physical therapy, zerog gait & balance training, outpatient neuro rehabilitation, disorders of consciousness program, inpatient rehabilitation, vocational rehabilitation, occupational therapy, brain injury & spinal cord injury rehabilitation for adults & children, neuro rehabilitation, brain injury rehabilitation, speechlanguage pathology, psychology, rehabilitation nursing, spinal cord injury rehabilitation, residential rehabilitation, hospitals & health care, rehab excellence awards, rehabilitation services, rehab for complex needs, carf accreditation, respiratory therapy, spinal cord injury, trauma recovery, holistic care, outpatient therapy, rehabilitation hospital, b2c, services, traumatic brain injury, zerog gait system, all other ambulatory health care services, interdisciplinary team, michigan neurorehab pioneer, therapy programs, post-acute care, patient care, medical rehabilitation, advanced technology, adaptive sports, long-term care, neurorehabilitation, comprehensive care continuum, outcomes-based rehabilitation, person-centered approach, healthcare, rehabilitation technology, specialized nursing, residential care, state-of-the-art rehabilitation center, brain injury, rehab innovation, patient outcomes, wound care, rehab for young and adult patients, spinal cord injury recovery, family-owned rehabilitation, aquatic therapy, physiotherapy, hospital & health care, long term care, health care, health, wellness & fitness",'+1 734-893-1000,"NSOne, MailChimp SPF, Slack, Hubspot, Drupal, Barracuda Networks, Facebook Widget, Facebook Login (Connect), Google Tag Manager, Google Maps, Squarespace ECommerce, Typekit, Mobile Friendly, Facebook Custom Audiences, Remote",,,,,102600000,,69fc90422e9c210001340444,8099,62199,"Special Tree Rehabilitation System is a family-owned neurorehabilitation provider established in 1974, located on a 23-acre campus in Romulus, Michigan. It specializes in post-acute and subacute care for brain injuries, spinal cord injuries, multiple trauma, and other neurological conditions. Recognized as one of the nation's leading providers in this field, Special Tree employs a holistic ""person-first"" approach known as the Science of Caring®, which addresses the physical, emotional, and spiritual needs of patients to promote hope and recovery.

The center offers comprehensive rehabilitation services, including 24/7 nursing and respiratory therapy, advanced treatment options, and a multidisciplinary team of specialists. Their programs focus on both adults and children, providing outpatient therapy, transitional, and long-term residential care in a supportive environment. Special Tree is dedicated to fostering independence and positive patient experiences, earning various accreditations and honors in the healthcare industry.",1974,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68410d45ddcf1e00016ccc01/picture,,,,,,,,,,,
Kline Galland,Kline Galland,Cold,"Apollo companies database, Signals databse",700,hospital & health care,toolsadmin@markifydigital.com,http://www.klinegalland.org,http://www.linkedin.com/company/kline-galland,https://facebook.com/klinegalland,,7500 Seward Park Avenue South,Seattle,Washington,United States,98118,"7500 Seward Park Avenue South, Seattle, Washington, United States, 98118","hospitals & health care, hospital & health care",'+1 206-725-8800,"Cloudflare DNS, Mailchimp Mandrill, Sendgrid, Outlook, YouTube, Flowplayer, Hotjar, WordPress.org, reCAPTCHA, CallRail, Gravity Forms, Google Tag Manager, Typekit, Mobile Friendly, Remote, AI, Elite Software HVAC Solution, Bing, Amazon Elastic MapReduce (EMR), Canva, Git, MailChimp, Facebook, Instagram, LinkedIn Ads, Indeed, Glassdoor, Google, Oasis-7, Adobe Creative Suite, Adobe InDesign, Adobe Photoshop",,,,,50000000,,69fc90882e9c210001347633,5047,,"Kline Galland is a nonprofit senior care organization established in 1914, focusing on long-term care, short-term rehabilitation, memory care, and various related services for elderly residents, primarily in the Seattle area. The organization was founded through a bequest from Caroline Rosenberg Kline Galland and has grown significantly since its inception, expanding its facilities to accommodate the needs of the community.

The services offered by Kline Galland include skilled nursing care, short-term rehabilitation, memory care, adult day services through The Polack Adult Day Center, and meal programs like Kosher Meals on Wheels and the SPICE Senior Nutrition Program. Additionally, it operates The Summit at First Hill, which features 126 independent and assisted living apartments. Kline Galland emphasizes personalized, high-quality healthcare and adheres to federal standards, continually investing in its facilities to meet the evolving needs of seniors.",1914,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/691807317690300001ea3830/picture,,,,,,,,,,,
Huntsville Memorial Hospital,Huntsville Memorial Hospital,Cold,"Apollo companies database, Signals databse",690,hospital & health care,toolsadmin@markifydigital.com,http://www.huntsvillememorial.com,http://www.linkedin.com/company/huntsville-memorial-hospital,https://facebook.com/huntsvillememorial/,https://twitter.com/hmh4life,110 Memorial Hospital Dr,Huntsville,Texas,United States,77340,"110 Memorial Hospital Dr, Huntsville, Texas, United States, 77340","inpatientoutpatient surgery, womens health center, cardiac rehabilitation, diagnostic imagingmammography, dialysis access clinic, infusion services, cardiology, pulmonology, hmh medical clinic, huntsville heart & vascular center, women39s health center, family medicine residency, primary stroke certified, nephrology, interventional radiology, infectious disease, hand surgery, 24hour trauma iv emergency center, obgyn services, orthopedic surgery, hmh primary care clinic, urological surgery, inpatientoutpatient rehabilitation, vascular surgery, podiatric surgery, hospitals & health care, medical, hospital & health care, health & medical, hospitals",'+1 936-291-3411,"Gmail, Google Apps, Google Cloud Hosting, Sectra PACS, CAQH ProView, BASE, Tor, FUSION, Quip, CAT, Semrush, Xray, Elite Software HVAC Solution, Electron, Bing, Azure Blueprints, Mag+, Air, BeeGFS, Panasonic IP-PBX, Greenway Health Patient Portal, Posit, Taleo Applicant Tracking Systems (ATS), ebs, Cascade CMS",,,,,149000000,2,69fc903d2e9c21000133ff92,8060,,"Huntsville Memorial Hospital is a 123-bed acute care community hospital located in Huntsville, Texas. Established in 1927, it serves Walker County and surrounding areas as a not-for-profit institution dedicated to patient-centered care. The hospital focuses on compassion, integrity, and excellence in healthcare services.

The hospital offers a wide range of services, including emergency care, surgical and specialty services, and comprehensive primary care through the HMH Medical Clinic. It features a Heart and Vascular Center for cardiovascular care and provides women's health services, including obstetrics and gynecology. Additional offerings include diagnostic imaging, rehabilitation services, and health screenings. Huntsville Memorial Hospital also operates specialty health clinics and utilizes advanced medical technologies, such as the VELYS robotic system for knee replacements.

Community engagement is a priority for the hospital, which emphasizes public education and awareness to enhance community health. It accepts Medicaid and provides a free mammogram screening program for uninsured patients, ensuring access to quality healthcare for all.",1927,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69ac7d87e0843100018c4471/picture,,,,,,,,,,,
Vista Health System,Vista Health System,Cold,"Apollo companies database, Signals databse",220,hospital & health care,toolsadmin@markifydigital.com,http://www.vistahealth.com,http://www.linkedin.com/company/vista-health-system,https://facebook.com/VistaMedicalCenterIL,https://twitter.com/VistaWaukegan,1324 N Sheridan Rd,Waukegan,Illinois,United States,60085-2161,"1324 N Sheridan Rd, Waukegan, Illinois, United States, 60085-2161","surgery, behavioral health, breastwomens health, breastwomen39s health, primary care, diabetes, obstetrics, emergency services, urology, cardiology, pediatrics, cancer care, stroke, bariatric, diagnostic imaging, hospice, pulmonary, sleep disorders, occupational health, rehabilitation, wound care, orthopedics, radiology, laboratory, hospitals & health care, trauma center, general medical and surgical hospitals, community health, healthcare partnerships, level 2 trauma center, community engagement, medical technology, specialized programs, patient-centered care, patient safety, quality improvement, diagnostic testing, healthcare innovation, community healthcare, infection control, healthcare modernization, healthcare, patient care, open-source md collaboration, inpatient outpatient care, hospital services, services, b2c, medical, health care, health, wellness & fitness, hospital & health care, health & medical, hospitals, medical centers, physical therapy",'+1 847-360-3000,"The Trade Desk, Slack, Google Maps, Google Analytics, reCAPTCHA, Mobile Friendly, Shutterstock, Yelp, Google Plus, Qualtrics, Bing Ads, Shopify, Typekit, Facebook Login (Connect), Google Maps (Non Paid Users), Google Tag Manager, Linkedin Marketing Solutions, Optimizely, YouTube, Facebook Custom Audiences, Google Play, Wix, WordPress.org, Hotjar, Gravity Forms, Facebook Widget, Bootstrap Framework, Trustpilot, Woo Commerce, Google AdSense, Vimeo, Google Font API, Hubspot, Remote, Tor, BD Pyxis, eMaint CMMS, Electron, Semrush, CLEAR, FreePBX, CAT, Athena, Cornerstone HR, Catylist SiteLink, Xray, Siemens MRI, Make, QRM, Vista, BlogHer, Veracode AppSec Governance, BeeGFS, OpenTelemetry",,Merger / Acquisition,0,2023-05-01,165000000,4,69fc90b82e9c21000134c2cd,8011,62211,"Vista Health System is a community healthcare provider located in Lake County, Illinois. It operates as a regional health network dedicated to delivering patient-centered care through various facilities and clinical locations. The organization focuses on accessibility and convenience, ensuring excellence in healthcare delivery across both inpatient and outpatient settings.

Key facilities include Vista Medical Center East, a community hospital offering comprehensive inpatient services, and the Vista Lindenhurst Campus, which features an ambulatory care center and outpatient rehabilitation services. Additional locations include the Vista Imaging Center and Vista MR Institute, both providing advanced diagnostic imaging services. The Vista Physician Group operates multiple clinics throughout the region.

Vista Health System offers a wide range of healthcare services, including diagnostic and imaging services, inpatient hospital care, outpatient rehabilitation, and access to a secure patient portal called Health Record Home. This portal allows patients to manage their medical records and access important health information securely.",1891,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68bed32207e58700017dca44/picture,US HealthVest (ushealthvest.com),5569dfb3736964257d5fac00,,,,,,,,,
Harmony Home Health & Hospice,Harmony Home Health & Hospice,Cold,"Apollo companies database, Signals databse",210,hospital & health care,toolsadmin@markifydigital.com,http://www.harmonyhomehealth.com,http://www.linkedin.com/company/harmony-home-health-&-hospice,https://facebook.com/harmonyhomehealth,,5650 S Green St,Murray,Utah,United States,84123,"5650 S Green St, Murray, Utah, United States, 84123","hospitals & health care, long-term care, chronic disease management, pediatric home care, occupational therapy, healthcare, skilled nursing, home health care services, speech therapy, home health services, in-home therapy, hospice services, hospice care, home health care, b2c, home infusion therapy, specialty care, personalized care, family-owned, home safety assessments, community-based, culturally competent care, senior care, music therapy, physical therapy, services, hospital & health care, long term care, health care, health, wellness & fitness, physiotherapy",'+1 877-463-3322,"Outlook, Google Cloud Hosting, WordPress.org, Google Font API, Wix, Nginx, Mobile Friendly, ASP.NET, Microsoft-IIS, Google Analytics, Zopim, Google translate widget, Bootstrap Framework, Facebook Login (Connect), Facebook Widget, Google Plus, Google translate API, Google Tag Manager, Facebook Custom Audiences, Sisense, Domo, Remote, AI, KNIME, Semrush, Oasis-7",,,,,20662000,,69fc90c02e9c21000134d20a,8082,62161,"Harmony Home Health & Hospice is a home care and hospice company located in Murray, Utah. Harmony currently provides home health and hospice services in the following communities in Utah: Salt Lake, Provo, Orem, Ogden, Clearfield, Layton, and Tooele. We also offer services in New Mexico: Albuquerque and Santa Fe.",1996,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67c698836cc327000187157d/picture,,,,,,,,,,,
Amphibious Medics,Amphibious Medics,Cold,"Apollo companies database, Signals databse",350,hospital & health care,toolsadmin@markifydigital.com,http://www.amphibiousmedics.com,http://www.linkedin.com/company/amphibious-medics,https://facebook.com/pages/Amphibious-Medics/267533659479,https://twitter.com/amphibiousmedic,,Orlando,Florida,United States,,"Orlando, Florida, United States","regulatory compliance, onsite first aid, claims management, workers compensation, field case management, oncall response, film set safety, onsite drug testing, obstacle racing ems management, industrial clinics, disaster ems staffing, vaccinations, ehs team support, alcohol screening, hospitals & health care, employee health, on-demand medical support, manufacturing, osha compliance, on-site medics, drug and alcohol screening, telehealth, workplace safety, hazard mitigation, occupational medical services, construction medics, safety program development, remote site clinics, event services, medical support, hazard prevention, set medics, safety consulting, services, telehealth services, incident reporting software, industrial safety protocols, employee wellness, injury recordability mitigation, special event medical support, healthcare, medical support solutions, medical staffing, first aid kits, event medics, incident management, safety training, emergency response, data tracking software, risk management, health and safety programs, hazardous environment support, media set medics, healthcare services, industrial medics, first aid support, consulting, drug screening, offices of all other health practitioners, b2b, medical personnel, construction, construction site safety, hazard identification, full-time on-site clinics, occupational health clinics, incident tracking, emergency medical services, construction & real estate, hospital & health care, mechanical or industrial engineering, events services, health care, health, wellness & fitness",'+1 562-706-1656,"Sendgrid, Outlook, Microsoft Office 365, DigitalOcean, Hubspot, Slack",,,,,10000000,,69fc90502e9c210001341cef,8011,62139,"Amphibious Medics is a veteran-owned small business established in 2001 and based in Orlando, Florida, with additional locations in Bellevue, Washington, and Long Beach, California. The company provides on-site first aid, emergency medical, occupational health, wellness, and safety services across various industries, both nationwide and globally.

The firm specializes in delivering medical care in challenging environments, including construction sites, manufacturing facilities, film sets, and events. Amphibious Medics employs a network of over 20,000 medical professionals, offering services such as on-site medical support, emergency response, health and wellness programs, and compliance screening. Their proprietary Injury Recordability Avoidance and Mitigation Program (IRAMP) aims to reduce OSHA recordables and enhance overall wellness. The company emphasizes regulatory compliance and claims administration, supporting a culture of health and safety in the workplace.",2001,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66fb81ba767eb20001a994b6/picture,,,,,,,,,,,
Mammoth Hospital,Mammoth Hospital,Cold,"Apollo companies database, Signals databse",290,hospital & health care,toolsadmin@markifydigital.com,http://www.mammothhospital.org,http://www.linkedin.com/company/mammoth-hospital,https://www.facebook.com/MammothHospital/,https://twitter.com/MammothHospital,85 Sierra Park Road,Mammoth Lakes,California,United States,93546,"85 Sierra Park Road, Mammoth Lakes, California, United States, 93546","ent, sports medicine, womens health, labor delivery, physical therapy, orthopedics, pediatrics, dermatology, general surgery, family medicine, hospitals & health care, general medical and surgical hospitals, cardiology, specialty clinics, emergency care, mental health, perinatal care, telehealth, behavioral health, orthopedic care, patient education, u.s. ski and snowboard teams, oncology, spiritual care, b2c, nursing, patient portal, critical access hospital, peripheral vascular services, medical imaging, surgery, mammography services, patient safety, community health programs, healthcare, community wellness, athletic training program, hospital, outpatient services, cancer outreach, rehabilitation, services, physiotherapy, hospital & health care, medical, health care, health, wellness & fitness, health & medical, hospitals",'+1 760-934-3311,"Mimecast, Mobile Friendly, SOASTA, Google Tag Manager, Remote, Electron, Cornerstone HR",,,,,118318000,2,69fc90782e9c210001345b52,8062,62211,"Mammoth Hospital is a modern, 17-bed facility designated by the federal government as a Critical Access Hospital supported by first-rate equipment. We pride ourselves on personalized care, and boast of our full-time board certified medical staff and highly qualified nursing staff. Since illness and injury don't always occur between the hours of eight and five, Mammoth Hospital is always prepared to meet your health care needs with 24-hour emergency care.

Mammoth Hospital's Sierra Park out-patient clinics specialize in: behavior medicine & psychiatry, family dental, family medicine (Bridgeport & Mammoth), internal medicine, general surgery, neurology, orthopedics / sports medicine (Bishop & Mammoth), pediatrics, physical & occupational therapy, urology, and women's health.

Mammoth Hospital and the Sierra Park clinics average 50,000 patient visits per year.",1978,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66dd98bcdd69a100010871d1/picture,,,,,,,,,,,
